Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count
2025,3,PA,Preliminary,"836,546","4,538,967","5,539,770"
2025,3,RI,Preliminary,"78,278","242,349","462,398"
2025,3,SC,Preliminary,"334,816","2,205,448","2,594,112"
2025,3,SD,Preliminary,"60,881","477,508","442,117"
2025,3,TN,Preliminary,"483,224","3,577,684","3,096,545"
2025,3,TX,Preliminary,"1,680,885","10,984,884","12,731,770"
2025,3,UT,Preliminary,"101,213","815,826","1,254,476"
2025,3,VA,Preliminary,"518,288","3,451,120","3,688,286"
2025,3,VT,Preliminary,"44,054","194,973","321,201"
2025,3,WA,Preliminary,"479,120","3,793,114","3,401,679"
2025,3,WI,Preliminary,"320,907","1,801,624","2,859,755"
2025,3,WV,Preliminary,"143,849","905,485","867,415"
2025,3,WY,Preliminary,"33,902","273,066","289,039"
2025,2,AK,Preliminary,"48,049","193,994","301,178"
2025,2,AL,Preliminary,"419,374","2,657,678","2,394,401"
2025,2,AR,Preliminary,"211,632","1,823,769","1,487,531"
2025,2,AZ,Preliminary,"311,269","2,039,040","3,142,544"
2025,2,CA,Preliminary,"1,982,169","6,261,525","13,684,984"
2025,2,CO,Preliminary,"242,947","1,600,334","2,507,558"
2025,2,CT,Preliminary,"378,569","1,138,579","1,565,207"
2025,2,DC,Preliminary,"43,870","222,326","323,022"
2025,2,DE,Preliminary,"81,789","522,494","474,397"
2025,2,FL,Preliminary,"1,473,294","9,832,877","10,525,481"
2025,2,GA,Preliminary,"658,279","4,847,255","4,829,347"
2025,2,HI,Preliminary,"81,212","190,239","447,493"
2025,2,IA,Preliminary,"175,840","1,440,657","1,470,736"
2025,2,ID,Preliminary,"108,679","992,911","879,422"
2025,2,IL,Preliminary,"622,567","3,774,453","5,377,256"
2025,2,IN,Preliminary,"479,819","3,254,499","3,006,090"
2025,2,KS,Preliminary,"164,583","1,208,032","1,341,325"
2025,2,KY,Preliminary,"329,826","2,535,475","2,020,545"
2025,2,LA,Preliminary,"301,182","2,567,021","2,160,607"
2025,2,MA,Preliminary,"582,863","1,914,573","2,860,766"
2025,2,MD,Preliminary,"488,636","2,666,684","2,458,013"
2025,2,ME,Preliminary,"131,590","501,065","750,506"
2025,2,MI,Preliminary,"538,188","2,845,682","4,543,228"
2025,2,MN,Preliminary,"314,465","2,150,362","2,609,068"
2025,2,MO,Preliminary,"403,790","3,590,508","2,880,003"
2025,2,MS,Preliminary,"217,239","1,642,562","1,347,210"
2025,2,MT,Preliminary,"79,386","683,397","564,246"
2025,2,NC,Preliminary,"780,272","5,516,694","5,122,510"
2025,2,ND,Preliminary,"61,253","600,336","399,079"
2025,2,NE,Preliminary,"112,982","1,037,632","919,943"
2025,2,NH,Preliminary,"106,468","462,487","655,419"
2025,2,NJ,Preliminary,"441,574","2,241,103","3,749,277"
2025,2,NM,Preliminary,"79,689","545,582","918,547"
2025,2,NV,Preliminary,"109,882","765,700","1,321,274"
2025,2,NY,Preliminary,"1,198,432","4,574,896","7,425,263"
2025,2,OH,Preliminary,"776,287","4,896,922","5,114,439"
2025,2,OK,Preliminary,"252,011","2,174,678","1,936,921"
2025,2,OR,Preliminary,"297,325","2,034,278","1,887,077"
2025,2,PA,Preliminary,"962,203","5,343,509","5,539,008"
2025,2,RI,Preliminary,"83,715","253,119","462,529"
2025,2,SC,Preliminary,"390,284","2,708,930","2,597,483"
2025,2,SD,Preliminary,"67,443","569,658","441,318"
2025,2,TN,Preliminary,"566,748","4,476,416","3,093,628"
2025,2,TX,Preliminary,"1,979,859","13,293,125","12,580,969"
2025,2,UT,Preliminary,"103,718","836,047","1,253,018"
2025,2,VA,Preliminary,"631,576","4,405,749","3,685,376"
2025,2,VT,Preliminary,"49,349","222,415","320,639"
2025,2,WA,Preliminary,"535,204","4,287,381","3,396,401"
2025,2,WI,Preliminary,"346,262","1,981,451","2,864,872"
2025,2,WV,Preliminary,"169,641","1,144,453","867,857"
2025,2,WY,Preliminary,"38,238","326,773","288,838"
2025,1,AK,Preliminary,"52,477","212,152","301,191"
2025,1,AL,Preliminary,"562,365","3,737,790","2,414,617"
2025,1,AR,Preliminary,"234,638","2,085,492","1,487,242"
2025,1,AZ,Preliminary,"395,241","2,679,717","3,139,195"
2025,1,CA,Preliminary,"2,395,771","7,927,480","14,391,175"
2025,1,CO,Preliminary,"284,842","1,897,888","2,504,926"
2025,1,CT,Preliminary,"415,793","1,383,344","1,563,311"
2025,1,DC,Preliminary,"51,036","271,038","321,632"
2025,1,DE,Preliminary,"89,393","575,934","473,800"
2025,1,FL,Preliminary,"1,596,700","11,061,711","10,518,457"
2025,1,GA,Preliminary,"921,943","6,820,071","4,835,723"
2025,1,HI,Preliminary,"97,250","240,046","447,479"
2025,1,IA,Preliminary,"195,112","1,618,893","1,470,024"
2025,1,ID,Preliminary,"121,155","1,119,837","878,118"
2025,1,IL,Preliminary,"708,038","4,477,292","5,366,031"
2025,1,IN,Preliminary,"556,574","3,800,344","3,004,018"
2025,1,KS,Preliminary,"183,990","1,381,051","1,340,110"
2025,1,KY,Preliminary,"399,780","3,172,217","2,019,404"
2025,1,LA,Preliminary,"332,954","3,026,972","2,160,915"
2025,1,MA,Preliminary,"607,744","2,020,388","2,910,959"
2025,1,MD,Preliminary,"618,894","3,389,648","2,456,325"
2025,1,ME,Preliminary,"121,148","463,639","755,615"
2025,1,MI,Preliminary,"596,318","3,222,714","4,542,345"
2025,1,MN,Preliminary,"347,401","2,390,251","2,608,592"
2025,1,MO,Preliminary,"452,398","4,044,548","2,878,600"
2025,1,MS,Preliminary,"240,886","1,908,454","1,348,229"
2025,1,MT,Preliminary,"73,727","646,382","563,613"
2025,1,NC,Preliminary,"952,419","7,635,652","5,120,260"
2025,1,ND,Preliminary,"64,320","648,055","399,129"
2025,1,NE,Preliminary,"125,287","1,186,314","919,526"
2025,1,NH,Preliminary,"123,674","528,435","655,150"
2025,1,NJ,Preliminary,"537,717","2,731,908","3,744,816"
2025,1,NM,Preliminary,"93,617","681,871","918,677"
2025,1,NV,Preliminary,"135,691","974,878","1,322,898"
2025,1,NY,Preliminary,"1,280,929","5,060,006","7,451,511"
2025,1,OH,Preliminary,"923,726","5,904,749","5,109,103"
2025,1,OK,Preliminary,"284,610","2,582,921","1,901,606"
2025,1,OR,Preliminary,"327,999","2,271,418","1,884,826"
2025,1,PA,Preliminary,"1,119,061","6,365,438","5,531,592"
2025,1,RI,Preliminary,"96,094","303,511","462,882"
2025,1,SC,Preliminary,"523,784","3,791,967","2,598,821"
2025,1,SD,Preliminary,"71,967","595,506","440,750"
2025,1,TN,Preliminary,"595,149","4,686,057","3,090,009"
2025,1,TX,Preliminary,"2,226,219","15,169,810","12,617,430"
2025,1,UT,Preliminary,"120,798","996,452","1,251,083"
2025,1,VA,Preliminary,"837,670","5,967,138","3,685,334"
2025,1,VT,Preliminary,"54,245","247,147","321,030"
2025,1,WA,Preliminary,"544,339","4,615,370","3,398,272"
2025,1,WI,Preliminary,"392,615","2,253,581","2,872,303"
2025,1,WV,Preliminary,"218,810","1,512,345","868,095"
2025,1,WY,Preliminary,"42,338","362,173","288,755"
2024,12,AK,Preliminary,"47,425","211,868","301,101"
2024,12,AL,Preliminary,"415,669","2,788,677","2,409,846"
2024,12,AR,Preliminary,"176,081","1,499,648","1,485,432"
2024,12,AZ,Preliminary,"357,730","2,353,304","3,134,535"
2024,12,CA,Preliminary,"2,161,521","7,074,453","14,362,038"
2024,12,CO,Preliminary,"252,982","1,668,362","2,501,738"
2024,12,CT,Preliminary,"358,116","1,271,619","1,560,866"
2024,12,DC,Preliminary,"44,302","235,247","321,677"
2024,12,DE,Preliminary,"82,187","492,665","473,260"
2024,12,FL,Preliminary,"1,340,435","9,439,328","10,502,688"
2024,12,GA,Preliminary,"710,690","5,269,837","4,831,967"
2024,12,HI,Preliminary,"95,572","225,716","447,400"
2024,12,IA,Preliminary,"175,835","1,415,127","1,467,320"
2024,12,ID,Preliminary,"112,610","1,026,678","876,507"
2024,12,IL,Preliminary,"618,130","3,864,616","5,371,352"
2024,12,IN,Preliminary,"453,619","3,145,985","3,001,538"
2024,12,KS,Preliminary,"154,852","1,117,809","1,337,775"
2024,12,KY,Preliminary,"317,015","2,387,893","2,017,739"
2024,12,LA,Preliminary,"265,874","2,272,346","2,160,432"
2024,12,MA,Preliminary,"549,459","1,759,885","3,014,288"
2024,12,MD,Preliminary,"506,264","2,788,900","2,453,603"
2024,12,ME,Preliminary,"104,584","397,879","740,635"
2024,12,MI,Preliminary,"557,389","3,028,299","4,537,622"
2024,12,MN,Preliminary,"308,204","2,194,326","2,606,781"
2024,12,MO,Preliminary,"381,260","3,293,875","2,893,876"
2024,12,MS,Preliminary,"192,463","1,431,661","1,352,980"
2024,12,MT,Preliminary,"70,639","595,156","562,914"
2024,12,NC,Preliminary,"785,015","5,818,650","5,111,013"
2024,12,ND,Preliminary,"58,428","572,368","398,751"
2024,12,NE,Preliminary,"108,416","1,005,573","918,007"
2024,12,NH,Preliminary,"109,402","463,240","654,283"
2024,12,NJ,Preliminary,"457,215","2,346,424","3,750,476"
2024,12,NM,Preliminary,"84,287","591,046","916,902"
2024,12,NV,Preliminary,"137,454","923,490","1,320,716"
2024,12,NY,Preliminary,"1,080,494","4,432,857","7,438,177"
2024,12,OH,Preliminary,"774,842","4,849,373","5,103,505"
2024,12,OK,Preliminary,"228,562","1,984,859","1,899,130"
2024,12,OR,Preliminary,"299,159","2,118,797","1,883,053"
2024,12,PA,Preliminary,"933,553","5,304,372","5,525,582"
2024,12,RI,Preliminary,"61,862","244,429","459,607"
2024,12,SC,Preliminary,"404,306","2,914,048","2,597,157"
2024,12,SD,Preliminary,"64,159","516,705","440,490"
2024,12,TN,Preliminary,"490,702","3,762,580","3,086,249"
2024,12,TX,Preliminary,"1,743,874","11,382,420","12,669,660"
2024,12,UT,Preliminary,"102,896","933,883","1,248,928"
2024,12,VA,Preliminary,"666,909","4,611,846","3,680,343"
2024,12,VT,Preliminary,"50,320","225,779","321,228"
2024,12,WA,Preliminary,"495,828","4,190,368","3,387,200"
2024,12,WI,Preliminary,"345,613","2,119,576","2,865,093"
2024,12,WV,Preliminary,"173,943","1,199,159","867,455"
2024,12,WY,Preliminary,"35,991","305,462","288,472"
2024,11,AK,Preliminary,"46,368","187,704","301,427"
2024,11,AL,Preliminary,"321,488","2,072,190","2,406,171"
2024,11,AR,Preliminary,"139,930","1,108,638","1,483,400"
2024,11,AZ,Preliminary,"316,817","2,087,482","3,127,524"
2024,11,CA,Preliminary,"1,903,686","5,816,020","13,652,675"
2024,11,CO,Preliminary,"236,238","1,558,279","2,497,308"
2024,11,CT,Preliminary,"263,688","903,721","1,557,986"
2024,11,DC,Preliminary,"27,936","147,635","320,359"
2024,11,DE,Preliminary,"55,152","304,808","472,355"
2024,11,FL,Preliminary,"1,391,767","9,766,353","10,485,997"
2024,11,GA,Preliminary,"560,089","3,918,642","4,825,083"
2024,11,HI,Preliminary,"93,054","234,851","447,111"
2024,11,IA,Preliminary,"134,620","1,009,113","1,468,429"
2024,11,ID,Preliminary,"93,983","831,889","875,048"
2024,11,IL,Preliminary,"487,791","2,846,519","5,338,203"
2024,11,IN,Preliminary,"349,808","2,141,739","2,995,786"
2024,11,KS,Preliminary,"127,076","861,463","1,336,418"
2024,11,KY,Preliminary,"229,109","1,643,311","2,015,321"
2024,11,LA,Preliminary,"242,987","2,040,593","2,159,527"
